artist,album,track_name,track_id,acousticness,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
TOTO,Toto IV,Africa,2374M0fQpWi3dLnB54qaLX,0.257,0.671,0.373,9,-18.064,1,0.0323,7.95e-05,0.0481,0.732,92.717,295893,4,"Varias (80s,90s...)"
TOTO,Toto,Hold the Line,4aVuWgvD0X63hcOCnZtNFA,0.00783,0.473,0.898,6,-4.797,0,0.0561,0.0618,0.173,0.808,96.556,235547,4,"Varias (80s,90s...)"
TOTO,Toto IV,Rosanna,37BTh5g05cxBIRYMbw8g2T,0.0213,0.384,0.512,7,-13.035,0,0.0358,0.000139,0.205,0.739,78.442,331200,4,"Varias (80s,90s...)"
U2,The Best of 1980-1990 & B-Sides,With Or Without You,2JZfTvWWtpaE8NohqRXqFr,0.000128,0.546,0.485,2,-9.424,1,0.027,0.318,0.0939,0.106,109.913,295200,4,"Varias (80s,90s...)"
U2,U218 Singles (Deluxe Version),Beautiful Day,0G5F2msfVO77xs7ql2RiTS,0.0225,0.541,0.914,2,-6.727,1,0.052,0.000441,0.353,0.449,136.282,245707,4,"Varias (80s,90s...)"
U2,U218 Singles (Deluxe Version),One,7fGwROu7fgPGy0Ru8Q5nBJ,0.242,0.556,0.616,0,-5.76,1,0.0275,0.00137,0.148,0.286,90.759,275400,4,"Varias (80s,90s...)"
U2,No Line On The Horizon,Magnificent,6u38x61qv7JBIJD4dqztmm,0.00012,0.529,0.715,6,-6.065,0,0.0348,0.497,0.112,0.592,114.973,324013,4,"Varias (80s,90s...)"
U2,U218 Singles (Deluxe Version),Where The Streets Have No Name,7uNvKuQZ40q2Qv3itfQDSi,0.00574,0.499,0.871,2,-4.75,1,0.0366,0.00239,0.105,0.301,125.778,286480,4,"Varias (80s,90s...)"
ABC,The Lexicon Of Love,The Look Of Love - Pt. 1,5PZJJDmGY5blmaj9znH1tA,0.112,0.739,0.898,9,-4.566,0,0.0895,0.00104,0.309,0.915,121.01,209160,4,"Varias (80s,90s...)"
Bad English,Bad English,Possession,4c9pXEaHBDpQT2HnXOUult,0.117,0.514,0.603,1,-12.096,0,0.03,0.0,0.117,0.371,99.985,308307,4,"Varias (80s,90s...)"
Benjamin Orr,The Lace,Stay the Night,7zJnmSjZKjntHmOvEokGb3,0.187,0.42,0.762,2,-8.237,0,0.0309,0.00102,0.0557,0.857,204.789,264893,4,"Varias (80s,90s...)"
Billy Idol,Billy Idol,White Wedding - Part 1 - 2001- Remaster,4zmx3vEPgRPjRT2CszUsZo,0.00363,0.634,0.804,9,-6.74,1,0.0329,0.00499,0.347,0.719,147.335,250760,4,"Varias (80s,90s...)"
Billy Idol,Greatest Hits,Rebel Yell - Remastered,2ZTIw0fZhFp3nnvF41nvVc,0.000466,0.534,0.694,9,-9.296,0,0.0472,0.0485,0.155,0.45,166.791,286840,4,"Varias (80s,90s...)"
Billy Idol,Billy Idol,Dancing With Myself - 2001 Digital Remaster,54HWkXBa3O7jH4vletYhc6,0.00135,0.387,0.906,4,-4.536,1,0.102,3.96e-06,0.582,0.85,177.031,196907,4,"Varias (80s,90s...)"
Billy Idol,The Very Best Of Billy Idol: Idolize Yourself,Eyes Without A Face - Remastered,7pzVqCZdYKM7oEPwaiQchB,0.00666,0.33,0.723,9,-8.0,1,0.0521,0.128,0.158,0.59,83.433,298280,4,"Varias (80s,90s...)"
Billy Idol,Essential,Hot In The City,1GSDI4uvxZkgQwFY0KVS5x,0.0135,0.668,0.848,5,-8.299,1,0.026,1.25e-05,0.13,0.704,111.138,218035,4,"Varias (80s,90s...)"
Billy Idol,Essential,Sweet Sixteen,6oas0gAuZI3ea5yvKQVxDH,0.6,0.593,0.637,9,-11.436,0,0.0331,0.0384,0.177,0.717,156.426,254584,4,"Varias (80s,90s...)"
Billy Joel,The Essential Billy Joel,Uptown Girl,3CSpzkoL1XgDBZ1q9aDCUV,0.0736,0.696,0.943,4,-2.962,1,0.0431,0.0,0.653,0.833,129.003,194867,4,"Varias (80s,90s...)"
Blind Melon,Blind Melon,No Rain,6txWz9UapYHVxEd7dDIHXT,0.619,0.389,0.476,9,-9.342,1,0.0316,5.09e-05,0.255,0.566,148.117,217107,4,"Varias (80s,90s...)"
